Cafe Name,Area,City,Instagram,Website,Contact Email,Owner/Manager Name,Menu Fit (Bowl/Smoothie/Acai),Outreach Status,Date Contacted,Date Followed Up,Notes
Juno's Pizza & Cafe,Indiranagar,Bangalore,,,,,Smoothie Bowls,Identified,,,
The Hole in the Wall Cafe,Koramangala,Bangalore,,,,,Acai Bowls,Identified,,,
Humming Tree,Indiranagar,Bangalore,,,,,Smoothie Bowls,Identified,,,
Cafe Lune,HSR Layout,Bangalore,,,,,Acai Bowls,Identified,,,
Blue Tokai Coffee Roasters,Indiranagar,Bangalore,,,,,Smoothie Bowls,Identified,,,
Dyu Art Cafe,Koramangala,Bangalore,,,,,Healthy Bowls,Identified,,,
Cafe Noir,Jayanagar,Bangalore,,,,,Smoothie Bowls,Identified,,,
The Fatty Bao,Indiranagar,Bangalore,,,,,Acai Bowls,Identified,,,
Sunny's Restaurant,Lavelle Road,Bangalore,,,,,Smoothie Bowls,Identified,,,
Brik Oven,Koramangala,Bangalore,,,,,Healthy Bowls,Identified,,,
